"age.response","age.text","gender.response","gender.text","race.response","race.text","response","ucla_time.response.duration","ucla_time.response.unit","ucla_time.text","ID","ucla_time.unit"
21,"Please enter your age","female","Please select you gender","other","Please select your race","Afro-latina",4,"year(s)","How long have you been at UCLA?",2,NA
18,"Please enter your age","female","Please select you gender","other","Please select your race","Hispanic, Middle eastern, White ",7,"week(s)","How long have you been at UCLA?",1,NA
18,"Please enter your age","female","Please select you gender","white","Please select your race",NA,2,"month(s)","How long have you been at UCLA?",10,NA
20,"Please enter your age","male","Please select you gender","southasian","Please select your race",NA,4,"year(s)","How long have you been at UCLA?",100,NA
19,"Please enter your age","female","Please select you gender","eastasian","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",101,NA
20,"Please enter your age","female","Please select you gender","other","Please select your race","Filipino",3,"year(s)","How long have you been at UCLA?",102,NA
20,"Please enter your age","female","Please select you gender","white","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",103,NA
18,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,5,"month(s)","How long have you been at UCLA?",104,NA
20,"Please enter your age","female","Please select you gender","other","Please select your race","White and Asian",2.5,"year(s)","How long have you been at UCLA?",105,NA
21,"Please enter your age","female","Please select you gender","white","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",106,NA
20,"Please enter your age","female","Please select you gender","other","Please select your race","Half Vietnamese and Half White",2.5,"year(s)","How long have you been at UCLA?",107,NA
21,"Please enter your age","female","Please select you gender","white","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",108,NA
22,"Please enter your age","male","Please select you gender","white","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",109,NA
19,"Please enter your age","male","Please select you gender","latino","Please select your race",NA,1,"year(s)","How long have you been at UCLA?",11,NA
21,"Please enter your age","male","Please select you gender","white","Please select your race",NA,5,"month(s)","How long have you been at UCLA?",110,NA
19,"Please enter your age","female","Please select you gender","white","Please select your race",NA,6,"month(s)","How long have you been at UCLA?",111,NA
21,"Please enter your age","female","Please select you gender","na","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",112,NA
22,"Please enter your age","female","Please select you gender","eastasian","Please select your race",NA,5,"month(s)","How long have you been at UCLA?",113,NA
20,"Please enter your age","female","Please select you gender","eastasian","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",114,NA
20,"Please enter your age","female","Please select you gender","southasian","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",115,NA
21,"Please enter your age","other","Please select you gender","latino","Please select your race","NonBinary",4,"year(s)","How long have you been at UCLA?",116,NA
20,"Please enter your age","male","Please select you gender","white","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",117,NA
19,"Please enter your age","female","Please select you gender","other","Please select your race","Filipino/Hawaiian",5,"month(s)","How long have you been at UCLA?",119,NA
20,"Please enter your age","male","Please select you gender","latino","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",12,NA
19,"Please enter your age","female","Please select you gender","southasian","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",120,NA
22,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,5,"month(s)","How long have you been at UCLA?",121,NA
21,"Please enter your age","female","Please select you gender","southasian","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",122,NA
20,"Please enter your age","female","Please select you gender","white","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",123,NA
20,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,1,"year(s)","How long have you been at UCLA?",124,NA
20,"Please enter your age","male","Please select you gender","mideastern","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",125,NA
18,"Please enter your age","female","Please select you gender","white","Please select your race",NA,5,"month(s)","How long have you been at UCLA?",126,NA
19,"Please enter your age","female","Please select you gender","southasian","Please select your race",NA,1.5,"year(s)","How long have you been at UCLA?",127,NA
19,"Please enter your age","female","Please select you gender","southasian","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",128,NA
20,"Please enter your age","female","Please select you gender","eastasian","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",129,NA
21,"Please enter your age","male","Please select you gender","white","Please select your race",NA,4,"year(s)","How long have you been at UCLA?",13,NA
20,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,2.5,"year(s)","How long have you been at UCLA?",130,NA
21,"Please enter your age","female","Please select you gender","southasian","Please select your race",NA,4,"year(s)","How long have you been at UCLA?",131,NA
20,"Please enter your age","female","Please select you gender","white","Please select your race",NA,5,"month(s)","How long have you been at UCLA?",132,NA
20,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",133,NA
20,"Please enter your age","female","Please select you gender","white","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",134,NA
20,"Please enter your age","female","Please select you gender","southasian","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",135,NA
20,"Please enter your age","female","Please select you gender","southasian","Please select your race",NA,2.5,"year(s)","How long have you been at UCLA?",136,NA
18,"Please enter your age","male","Please select you gender","eastasian","Please select your race",NA,6,"month(s)","How long have you been at UCLA?",137,NA
21,"Please enter your age","female","Please select you gender","other","Please select your race","White and Asian",3,"year(s)","How long have you been at UCLA?",138,NA
21,"Please enter your age","male","Please select you gender","southasian","Please select your race",NA,3.5,"year(s)","How long have you been at UCLA?",139,NA
18,"Please enter your age","male","Please select you gender","eastasian","Please select your race",NA,2,"month(s)","How long have you been at UCLA?",14,NA
20,"Please enter your age","male","Please select you gender","latino","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",140,NA
22,"Please enter your age","male","Please select you gender","eastasian","Please select your race",NA,3.5,"year(s)","How long have you been at UCLA?",141,NA
19,"Please enter your age","female","Please select you gender","eastasian","Please select your race",NA,1.5,"year(s)","How long have you been at UCLA?",143,NA
32,"Please enter your age","male","Please select you gender","white","Please select your race",NA,4,"month(s)","How long have you been at UCLA?",144,NA
21,"Please enter your age","female","Please select you gender","white","Please select your race",NA,6,"month(s)","How long have you been at UCLA?",145,NA
20,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",146,NA
19,"Please enter your age","male","Please select you gender","southasian","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",147,NA
20,"Please enter your age","male","Please select you gender","white","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",148,NA
18,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,18,"week(s)","How long have you been at UCLA?",149,NA
19,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,16,"month(s)","How long have you been at UCLA?",15,NA
19,"Please enter your age","female","Please select you gender","other","Please select your race","Asian, Caucasian, Pacific Islander",6,"month(s)","How long have you been at UCLA?",150,NA
20,"Please enter your age","female","Please select you gender","other","Please select your race","Half caucasian half hispanic",1.5,"year(s)","How long have you been at UCLA?",151,NA
21,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",152,NA
19,"Please enter your age","female","Please select you gender","mideastern","Please select your race",NA,5,"month(s)","How long have you been at UCLA?",153,NA
19,"Please enter your age","female","Please select you gender","white","Please select your race",NA,19,"week(s)","How long have you been at UCLA?",154,NA
19,"Please enter your age","female","Please select you gender","white","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",155,NA
19,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,1,"year(s)","How long have you been at UCLA?",156,NA
21,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,4,"year(s)","How long have you been at UCLA?",157,NA
21,"Please enter your age","male","Please select you gender","latino","Please select your race",NA,4,"year(s)","How long have you been at UCLA?",158,NA
19,"Please enter your age","female","Please select you gender","white","Please select your race",NA,6,"month(s)","How long have you been at UCLA?",159,NA
21,"Please enter your age","male","Please select you gender","white","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",16,NA
20,"Please enter your age","female","Please select you gender","other","Please select your race","Eurasian",3,"year(s)","How long have you been at UCLA?",160,NA
20,"Please enter your age","male","Please select you gender","southasian","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",161,NA
21,"Please enter your age","female","Please select you gender","other","Please select your race","Black and Mexican",3.5,"year(s)","How long have you been at UCLA?",162,NA
19,"Please enter your age","male","Please select you gender","southasian","Please select your race",NA,5,"month(s)","How long have you been at UCLA?",163,NA
20,"Please enter your age","male","Please select you gender","southasian","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",164,NA
21,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,4,"year(s)","How long have you been at UCLA?",165,NA
19,"Please enter your age","male","Please select you gender","eastasian","Please select your race",NA,17,"month(s)","How long have you been at UCLA?",166,NA
20,"Please enter your age","female","Please select you gender","white","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",167,NA
21,"Please enter your age","female","Please select you gender","southasian","Please select your race",NA,4,"year(s)","How long have you been at UCLA?",168,NA
20,"Please enter your age","female","Please select you gender","other","Please select your race","Middle Eastern and Latina",3,"year(s)","How long have you been at UCLA?",169,NA
19,"Please enter your age","female","Please select you gender","other","Please select your race","half white, half chinese",2,"year(s)","How long have you been at UCLA?",17,NA
18,"Please enter your age","female","Please select you gender","eastasian","Please select your race",NA,6,"month(s)","How long have you been at UCLA?",170,NA
21,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",171,NA
18,"Please enter your age","female","Please select you gender","eastasian","Please select your race",NA,6,"month(s)","How long have you been at UCLA?",172,NA
20,"Please enter your age","male","Please select you gender","eastasian","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",173,NA
22,"Please enter your age","female","Please select you gender","other","Please select your race","Korean and Black",2,"year(s)","How long have you been at UCLA?",174,NA
22,"Please enter your age","female","Please select you gender","african","Please select your race",NA,5,"month(s)","How long have you been at UCLA?",175,NA
18,"Please enter your age","female","Please select you gender","eastasian","Please select your race",NA,6,"month(s)","How long have you been at UCLA?",176,NA
18,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,6,"month(s)","How long have you been at UCLA?",177,NA
26,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",178,NA
20,"Please enter your age","female","Please select you gender","other","Please select your race","white and hispanic ",2.5,"year(s)","How long have you been at UCLA?",179,NA
20,"Please enter your age","female","Please select you gender","white","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",18,NA
22,"Please enter your age","female","Please select you gender","southasian","Please select your race",NA,4,"year(s)","How long have you been at UCLA?",180,NA
19,"Please enter your age","female","Please select you gender","eastasian","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",181,NA
20,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,5,"month(s)","How long have you been at UCLA?",182,NA
20,"Please enter your age","female","Please select you gender","white","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",183,NA
21,"Please enter your age","female","Please select you gender","mideastern","Please select your race",NA,4,"year(s)","How long have you been at UCLA?",184,NA
19,"Please enter your age","male","Please select you gender","white","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",185,NA
21,"Please enter your age","female","Please select you gender","white","Please select your race",NA,4,"year(s)","How long have you been at UCLA?",186,NA
20,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",187,NA
22,"Please enter your age","female","Please select you gender","eastasian","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",188,NA
21,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,6,"month(s)","How long have you been at UCLA?",189,NA
21,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",19,NA
18,"Please enter your age","female","Please select you gender","southasian","Please select your race",NA,7,"month(s)","How long have you been at UCLA?",190,NA
20,"Please enter your age","male","Please select you gender","southasian","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",191,NA
21,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,4,"year(s)","How long have you been at UCLA?",192,NA
19,"Please enter your age","female","Please select you gender","white","Please select your race",NA,5,"month(s)","How long have you been at UCLA?",193,NA
20,"Please enter your age","male","Please select you gender","mideastern","Please select your race",NA,1,"year(s)","How long have you been at UCLA?",194,NA
21,"Please enter your age","female","Please select you gender","white","Please select your race",NA,4,"year(s)","How long have you been at UCLA?",195,NA
21,"Please enter your age","female","Please select you gender","white","Please select your race",NA,4,"month(s)","How long have you been at UCLA?",196,NA
22,"Please enter your age","female","Please select you gender","white","Please select your race",NA,4,"year(s)","How long have you been at UCLA?",197,NA
23,"Please enter your age","male","Please select you gender","white","Please select your race",NA,5,"month(s)","How long have you been at UCLA?",198,NA
20,"Please enter your age","male","Please select you gender","latino","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",199,NA
19,"Please enter your age","male","Please select you gender","eastasian","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",20,NA
20,"Please enter your age","female","Please select you gender","eastasian","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",200,NA
19,"Please enter your age","female","Please select you gender","white","Please select your race",NA,5,"month(s)","How long have you been at UCLA?",201,NA
21,"Please enter your age","male","Please select you gender","white","Please select your race",NA,4,"year(s)","How long have you been at UCLA?",203,NA
21,"Please enter your age","male","Please select you gender","other","Please select your race","Asian, White",3,"year(s)","How long have you been at UCLA?",204,NA
21,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,7,"month(s)","How long have you been at UCLA?",205,NA
20,"Please enter your age","female","Please select you gender","white","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",206,NA
22,"Please enter your age","female","Please select you gender","eastasian","Please select your race",NA,4,"year(s)","How long have you been at UCLA?",207,NA
18,"Please enter your age","male","Please select you gender","white","Please select your race",NA,7,"month(s)","How long have you been at UCLA?",208,NA
19,"Please enter your age","female","Please select you gender","african","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",209,NA
19,"Please enter your age","female","Please select you gender","white","Please select your race",NA,1.3,"year(s)","How long have you been at UCLA?",21,NA
19,"Please enter your age","female","Please select you gender","white","Please select your race",NA,6,"month(s)","How long have you been at UCLA?",210,NA
20,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",211,NA
20,"Please enter your age","male","Please select you gender","latino","Please select your race",NA,6,"month(s)","How long have you been at UCLA?",212,NA
22,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,4,"year(s)","How long have you been at UCLA?",213,NA
22,"Please enter your age","male","Please select you gender","na","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",214,NA
19,"Please enter your age","male","Please select you gender","mideastern","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",215,NA
21,"Please enter your age","male","Please select you gender","pacific","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",216,NA
21,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,4,"year(s)","How long have you been at UCLA?",217,NA
20,"Please enter your age","female","Please select you gender","white","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",218,NA
22,"Please enter your age","female","Please select you gender","eastasian","Please select your race",NA,4,"year(s)","How long have you been at UCLA?",219,NA
19,"Please enter your age","female","Please select you gender","white","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",22,NA
21,"Please enter your age","female","Please select you gender","eastasian","Please select your race",NA,4,"year(s)","How long have you been at UCLA?",220,NA
22,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,4,"year(s)","How long have you been at UCLA?",221,NA
21,"Please enter your age","female","Please select you gender","southasian","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",222,NA
21,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",223,NA
19,"Please enter your age","male","Please select you gender","latino","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",224,NA
22,"Please enter your age","male","Please select you gender","na","Please select your race",NA,4,"year(s)","How long have you been at UCLA?",225,NA
22,"Please enter your age","female","Please select you gender","white","Please select your race",NA,4,"year(s)","How long have you been at UCLA?",226,NA
21,"Please enter your age","female","Please select you gender","na","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",227,NA
21,"Please enter your age","male","Please select you gender","latino","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",228,NA
20,"Please enter your age","female","Please select you gender","white","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",23,NA
21,"Please enter your age","female","Please select you gender","white","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",231,NA
18,"Please enter your age","female","Please select you gender","other","Please select your race","Asian and white",7,"month(s)","How long have you been at UCLA?",232,NA
20,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,8,"month(s)","How long have you been at UCLA?",233,NA
19,"Please enter your age","female","Please select you gender","white","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",234,NA
22,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,4,"year(s)","How long have you been at UCLA?",235,NA
21,"Please enter your age","female","Please select you gender","other","Please select your race","Phillipino & Black",3.5,"year(s)","How long have you been at UCLA?",236,NA
20,"Please enter your age","male","Please select you gender","eastasian","Please select your race",NA,6,"month(s)","How long have you been at UCLA?",237,NA
19,"Please enter your age","female","Please select you gender","white","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",238,NA
19,"Please enter your age","male","Please select you gender","southasian","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",239,NA
21,"Please enter your age","female","Please select you gender","other","Please select your race","Half asian half European / Jewish",4,"year(s)","How long have you been at UCLA?",24,NA
22,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,4,"year(s)","How long have you been at UCLA?",240,NA
19,"Please enter your age","female","Please select you gender","native","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",241,NA
22,"Please enter your age","female","Please select you gender","pacific","Please select your race",NA,4,"year(s)","How long have you been at UCLA?",242,NA
19,"Please enter your age","female","Please select you gender","southasian","Please select your race",NA,5,"month(s)","How long have you been at UCLA?",243,NA
20,"Please enter your age","female","Please select you gender","eastasian","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",244,NA
18,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,7,"month(s)","How long have you been at UCLA?",245,NA
18,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,1,"year(s)","How long have you been at UCLA?",246,NA
20,"Please enter your age","female","Please select you gender","eastasian","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",247,NA
21,"Please enter your age","female","Please select you gender","mideastern","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",248,NA
21,"Please enter your age","female","Please select you gender","white","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",249,NA
19,"Please enter your age","male","Please select you gender","southasian","Please select your race",NA,2,"month(s)","How long have you been at UCLA?",25,NA
19,"Please enter your age","female","Please select you gender","mideastern","Please select your race",NA,6,"month(s)","How long have you been at UCLA?",250,NA
21,"Please enter your age","male","Please select you gender","eastasian","Please select your race",NA,4,"year(s)","How long have you been at UCLA?",26,NA
19,"Please enter your age","female","Please select you gender","mideastern","Please select your race",NA,3,"month(s)","How long have you been at UCLA?",27,NA
18,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,2,"month(s)","How long have you been at UCLA?",28,NA
22,"Please enter your age","male","Please select you gender","other","Please select your race","caucasian/hispanic",4,"year(s)","How long have you been at UCLA?",29,NA
21,"Please enter your age","female","Please select you gender","white","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",3,NA
20,"Please enter your age","female","Please select you gender","eastasian","Please select your race",NA,3,"month(s)","How long have you been at UCLA?",31,NA
19,"Please enter your age","female","Please select you gender","white","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",32,NA
22,"Please enter your age","female","Please select you gender","southasian","Please select your race",NA,4,"year(s)","How long have you been at UCLA?",34,NA
20,"Please enter your age","female","Please select you gender","southasian","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",35,NA
19,"Please enter your age","female","Please select you gender","southasian","Please select your race",NA,18,"month(s)","How long have you been at UCLA?",36,NA
21,"Please enter your age","male","Please select you gender","eastasian","Please select your race",NA,4,"year(s)","How long have you been at UCLA?",37,NA
22,"Please enter your age","female","Please select you gender","southasian","Please select your race",NA,3.5,"year(s)","How long have you been at UCLA?",38,NA
21,"Please enter your age","male","Please select you gender","southasian","Please select your race",NA,3,"month(s)","How long have you been at UCLA?",39,NA
20,"Please enter your age","male","Please select you gender","mideastern","Please select your race",NA,3,"month(s)","How long have you been at UCLA?",4,NA
25,"Please enter your age","male","Please select you gender","eastasian","Please select your race",NA,3,"month(s)","How long have you been at UCLA?",40,NA
20,"Please enter your age","male","Please select you gender","african","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",41,NA
25,"Please enter your age","male","Please select you gender","latino","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",43,NA
18,"Please enter your age","male","Please select you gender","latino","Please select your race",NA,4,"month(s)","How long have you been at UCLA?",45,NA
21,"Please enter your age","female","Please select you gender","southasian","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",46,NA
18,"Please enter your age","female","Please select you gender","other","Please select your race","Both Southeast Asian and East Asian (Filipino and Korean)",2.5,"month(s)","How long have you been at UCLA?",47,NA
20,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",48,NA
20,"Please enter your age","male","Please select you gender","mideastern","Please select your race",NA,10,"week(s)","How long have you been at UCLA?",49,NA
21,"Please enter your age","female","Please select you gender","southasian","Please select your race",NA,3.5,"year(s)","How long have you been at UCLA?",5,NA
18,"Please enter your age","male","Please select you gender","white","Please select your race",NA,10,"week(s)","How long have you been at UCLA?",50,NA
20,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,3,"month(s)","How long have you been at UCLA?",51,NA
19,"Please enter your age","female","Please select you gender","white","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",52,NA
21,"Please enter your age","female","Please select you gender","southasian","Please select your race",NA,3.5,"year(s)","How long have you been at UCLA?",53,NA
19,"Please enter your age","female","Please select you gender","white","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",54,NA
21,"Please enter your age","female","Please select you gender","mideastern","Please select your race",NA,4,"year(s)","How long have you been at UCLA?",55,NA
19,"Please enter your age","female","Please select you gender","southasian","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",56,NA
20,"Please enter your age","female","Please select you gender","white","Please select your race",NA,2.5,"year(s)","How long have you been at UCLA?",57,NA
20,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",58,NA
21,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,1.5,"year(s)","How long have you been at UCLA?",59,NA
20,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",6,NA
21,"Please enter your age","male","Please select you gender","eastasian","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",60,NA
21,"Please enter your age","female","Please select you gender","african","Please select your race",NA,4,"year(s)","How long have you been at UCLA?",61,NA
21,"Please enter your age","female","Please select you gender","white","Please select your race",NA,NA,NA,"How long have you been at UCLA?",62,"year(s)"
20,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,5,"month(s)","How long have you been at UCLA?",63,NA
21,"Please enter your age","female","Please select you gender","eastasian","Please select your race",NA,4,"year(s)","How long have you been at UCLA?",64,NA
19,"Please enter your age","female","Please select you gender","eastasian","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",65,NA
20,"Please enter your age","female","Please select you gender","eastasian","Please select your race",NA,2.5,"year(s)","How long have you been at UCLA?",66,NA
19,"Please enter your age","male","Please select you gender","southasian","Please select your race",NA,1,"year(s)","How long have you been at UCLA?",67,NA
21,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",68,NA
21,"Please enter your age","female","Please select you gender","eastasian","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",69,NA
22,"Please enter your age","male","Please select you gender","latino","Please select your race",NA,8,"week(s)","How long have you been at UCLA?",7,NA
22,"Please enter your age","female","Please select you gender","eastasian","Please select your race",NA,3.5,"year(s)","How long have you been at UCLA?",70,NA
18,"Please enter your age","female","Please select you gender","white","Please select your race",NA,4,"month(s)","How long have you been at UCLA?",72,NA
21,"Please enter your age","female","Please select you gender","eastasian","Please select your race",NA,3.5,"year(s)","How long have you been at UCLA?",73,NA
20,"Please enter your age","female","Please select you gender","southasian","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",74,NA
21,"Please enter your age","female","Please select you gender","white","Please select your race",NA,4,"year(s)","How long have you been at UCLA?",75,NA
20,"Please enter your age","female","Please select you gender","white","Please select your race",NA,2.5,"year(s)","How long have you been at UCLA?",76,NA
23,"Please enter your age","female","Please select you gender","white","Please select your race",NA,16,"month(s)","How long have you been at UCLA?",77,NA
18,"Please enter your age","female","Please select you gender","southasian","Please select your race",NA,4,"month(s)","How long have you been at UCLA?",78,NA
22,"Please enter your age","male","Please select you gender","eastasian","Please select your race",NA,2.5,"year(s)","How long have you been at UCLA?",79,NA
23,"Please enter your age","male","Please select you gender","latino","Please select your race",NA,3,"month(s)","How long have you been at UCLA?",8,NA
19,"Please enter your age","female","Please select you gender","southasian","Please select your race",NA,1.5,"year(s)","How long have you been at UCLA?",80,NA
18,"Please enter your age","female","Please select you gender","southasian","Please select your race",NA,5,"month(s)","How long have you been at UCLA?",81,NA
23,"Please enter your age","female","Please select you gender","eastasian","Please select your race",NA,5,"month(s)","How long have you been at UCLA?",82,NA
20,"Please enter your age","male","Please select you gender","eastasian","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",83,NA
20,"Please enter your age","female","Please select you gender","other","Please select your race","Latina and White",3,"year(s)","How long have you been at UCLA?",84,NA
19,"Please enter your age","female","Please select you gender","eastasian","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",85,NA
21,"Please enter your age","female","Please select you gender","eastasian","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",86,NA
20,"Please enter your age","male","Please select you gender","white","Please select your race",NA,2.5,"year(s)","How long have you been at UCLA?",87,NA
22,"Please enter your age","female","Please select you gender","white","Please select your race",NA,4,"year(s)","How long have you been at UCLA?",88,NA
22,"Please enter your age","female","Please select you gender","mideastern","Please select your race",NA,3,"year(s)","How long have you been at UCLA?",89,NA
19,"Please enter your age","female","Please select you gender","african","Please select your race",NA,8,"week(s)","How long have you been at UCLA?",9,NA
19,"Please enter your age","female","Please select you gender","na","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",90,NA
18,"Please enter your age","male","Please select you gender","southasian","Please select your race",NA,5,"month(s)","How long have you been at UCLA?",91,NA
18,"Please enter your age","female","Please select you gender","mideastern","Please select your race",NA,5,"month(s)","How long have you been at UCLA?",92,NA
20,"Please enter your age","female","Please select you gender","white","Please select your race",NA,2.5,"year(s)","How long have you been at UCLA?",93,NA
21,"Please enter your age","female","Please select you gender","white","Please select your race",NA,2,"year(s)","How long have you been at UCLA?",94,NA
21,"Please enter your age","female","Please select you gender","latino","Please select your race",NA,6,"month(s)","How long have you been at UCLA?",95,NA
21,"Please enter your age","female","Please select you gender","southasian","Please select your race",NA,3.5,"year(s)","How long have you been at UCLA?",96,NA
18,"Please enter your age","female","Please select you gender","eastasian","Please select your race",NA,4,"month(s)","How long have you been at UCLA?",97,NA
20,"Please enter your age","female","Please select you gender","other","Please select your race","White and Asian",2,"year(s)","How long have you been at UCLA?",98,NA
18,"Please enter your age","female","Please select you gender","eastasian","Please select your race",NA,4,"month(s)","How long have you been at UCLA?",99,NA
